id,text,Achievement,Self-direction,Hedonism,Security,Power,Stimulation,Benevolence,Universalism,Conformity,Tradition
54,great app it would be perfect if i could filter by complexity or use complexity for sorting ,0,1,0,0,0,0,0,0,0,0
55,good intentions but not that impressed lacking in documentation and usability update gets improvements all the time rating upper ,1,0,0,0,0,0,0,0,0,0
56,great app just what i was looking for my only negative is that its quite expensive to upgrade everything id also love for there to be an option when tracking challenges to only include games from my collection at the moment i have to manually exclude all other games ,0,1,1,0,1,0,0,0,0,0
57,pros link to big large variety of statistics for your gameplay editable player profiles for all players including big usernames cons no ratings cannot rate a game from inside the app or even see what young have already rated a game ,1,0,0,0,0,0,0,0,0,0
58,works very well and tracks my plays easily star because id really like a web version yes i know i could just go to big but i prefer stats excellent interface edit thanks for the response i meant pc screen my bad ,1,1,0,0,0,0,0,0,0,0
59,like it so far but crashes upon trying to view images fix and ill rate stars ,0,0,0,1,0,0,0,0,0,0
60,this game has everything i want in a board game tracking app apart from the ability to link to other players to share plays if it was able to do that it would be perfect loving tracking the plays love seeing the stats but would love to share the plays among the players for their apps too ,1,1,0,0,0,0,1,0,0,0
61,this app is great the only reason i gave it stars was that i could not figure out a good way to sync my plays of rpg such as dd and dungeon world from big i tried to import my plays of dungeon world but it thought i had been playing some game called org from i decided to just make my own placeholder for my rpg in the app instead kind of annoying because i want to record play sessions in the same app that i use for board games ,1,1,1,0,0,0,0,0,0,0
62,hey bg stats how about you add a game randomized for picking a game to play ill change it to stars then ,0,0,0,0,0,1,0,0,0,0
63,not sure if its just me but when i update notes on a game i have already played and imported it will not update in the app is there something else i need to do ,0,0,0,0,0,0,0,0,0,0
64,this app is wonderful ill update my rating to stars once you can select expansions as part of your play of the base game ,1,0,0,0,0,0,0,0,0,0
65,really good app for tracking game plays and statistics as has been said in other reviews the expansion function needs work currently no way to track playing multiple expansions at once and the stats are separate from base game which does not always make sense for the way some games work ,1,0,0,0,0,0,0,0,0,0
66,love the app so sad i have to wait till android for dark mode spanish thanks for replying so quickly ,0,0,1,0,0,1,1,0,0,0
67,clear and enjoyable way to record game plays big integration is smooth and easy to use and the charts are fun my only fault is that there is no way to record a solo beat your own score style game without registering it as a win loss or clicking ignore for statistics which is not ideal if you are into this kind of game ,1,0,1,0,0,0,0,0,0,0
68,prefer scanning barcode to add games rather than manually adding them ,0,1,0,0,0,0,0,0,0,0
69,so far no issues but what i would love to see is to be able to select more than one game at a time to delete that i no longer have in my collection ,0,1,0,0,0,0,0,0,0,0
70,works great biggest complaint is i cannot search for the app inside android and have to find it from the play store ,0,0,1,0,0,0,0,0,0,0
71,great app needs a way to determine a winner via tie breaker though ,1,0,0,0,0,0,0,0,0,0
72,a brilliant way to see trends and patterns in your board game plays everything from how frequently you play games to win percentages to average game lengths and much more a musthave for the modern board game collector who is also interested in stats the app misses out on stars from me only because i would love to see support for expansions having them integrated rather than being considered to be separate games ,1,1,0,0,0,0,0,0,0,0
73,great app sync well with big interesting stats shown one thing that would make it better is being able to mark the games as owned or not owned the list of games fills up with every game you have played and there is no way to see only the ones in your collection or select only the ones you own for the challenges add on to be honest this is quite a big downside as i use it to track challenges and decide what to play out of games that have not had much table time recently ,1,1,0,0,0,1,0,0,0,0
74,nearly perfect app makes recording plays a breeze and the sync with big is top notch the only thing that could be improved is the ability to filter plays for viewing stats for instance id like to be able to filter plays based on expansions or variants to see how scores vary between expansion combinations still well worth the price ,1,1,0,0,0,0,0,0,0,0
75,great stat keeper for board game nerds i just wish it had a way to specify a couple of things games you personally own vs those of someone else adding expansions under the core game vs having them listed as games themselves it would be really helpful expansion wise then if they were disable under the game as clickable options as used during said gameplay otherwise i absolutely love the app it is really nice for keeping score and making challenges for yourself ,1,1,0,0,0,1,0,0,0,0
76,great app i would like to see player count added to the game info and the ability to sort games by player count also would like to see the ability to identify games in my list as games owned so i can log games that i have played but do not own and be able to sort between the two ,1,1,0,0,0,0,0,0,0,0
77,good app very useful but lack some features like export all games from a specific player this would attract a lot of new users ,1,1,0,0,0,0,0,0,0,0
78,really enjoying the app the one thing its missing for me is the ability to rate games and sync the rating with big ,1,0,1,0,0,0,0,0,0,0
79,love the app the only thing missing is an option to exclude coop games from stats views i am more interested in stats in normal player games ,1,1,0,0,0,0,0,0,0,0
80,good app lacks collection management resource would be perfect ,1,0,0,0,0,0,0,0,0,0
81,this app is really great but i have been having a lot of issues importing games recently has anyone else ,0,0,0,1,0,0,0,0,0,0
82,this app is almost perfect if allowed for sub section for expansions rather than expansions as separate games i would have given five stars ,1,0,0,0,0,0,0,0,0,0
83,the app is good at what it is set out to do but the lacking of a game collection management toll makes it not so useful to me ,1,0,0,0,0,0,0,0,0,0
84,this app does a good job of tracking and displaying game plays and scores the ui takes some getting used to especially the icons which are difficult to understand the process for sharing plays is more work than each person just entering the information separately so in summary it good at its primary task but board game stats definitely has some issues edit they got a star back for the prompt response and letting us know how to fix the big issue ,1,1,0,1,0,0,0,0,0,0
85,love the app currently have plays logged really interesting to see the stats one really great feature that others have suggested would to link expansions to the base game played for instance with carcassonne if we played with the crop circles and traders and builders that could be logged that way the base game and each expansion would have logged plays thank you ,1,1,0,0,0,1,0,0,0,0
86,functions well the addons are worth the price only thing i wish they had was a way to attach expansions to your entries so i could track how often i use certain expansions ,1,1,0,0,0,0,0,0,0,0
87,great app can you please add a feature to sync your stats with another player and have stats attached to a persons username so if i played with someone it would sync all the stats to their account as well ,1,0,0,0,0,0,1,1,0,0
88,a very comprehensive method of tracking and viewing stats i especially like the add ons for both in depth stat viewing and tracking of personal challenges my only complaint is that the app lacks a simple way of singing plays from big navigating multiple menus to achieve this seems to be overly complex when a simple drag down from the plays screen could achieve the same thing ,1,1,1,0,0,1,0,0,0,0
89,not so keen on the app purchases ,0,0,0,0,0,0,0,0,0,0
90,would give it a but there is no function for managing expansions of games ,1,1,0,0,0,0,0,0,0,0
91,i love this app one thing id like is if you could take a picture of the games barcode to lookup on board game geek instead of typing in the name ,0,1,0,0,0,0,0,0,0,0
92,very useful but there is a few more stats id like it to be able to crunch who wins most on thursday who is most likely to win when a new player filter people who have played games at least ten times thankful they are still updating it ,1,1,0,0,0,0,0,0,0,0
93,great for stats and tracking scores over time could be more intuitive with the name scoring and rounds but its still the best game tracker i have found ,1,1,0,0,0,0,0,0,0,0
94,maybe something to compare scores between players ,1,0,0,0,0,0,0,0,0,0
95,i paid for the full app but i see that it wants another purchase to unlock advanced stats though i already paid for that though any insight ,0,0,0,0,1,0,0,0,0,0
96,fun way to keep track of high scores ,1,0,1,0,0,0,0,0,0,0
97,very handy for tracking stats also was nice since i just used google rewards credit to buy it knocking one star off for two reasons hard to track when you use expansions and it would be nice to set up default teams and neutral players an example is ultimate werewolf where one player is the neutral moderator and there is almost always a werewolf team and villagers team it would be nice to be able to set up the game where it always has a default team called werewolves and villagers it would also be nice that when you added a new game from the played screen it would save the team names ,1,1,0,0,0,0,0,0,0,0
98,prior to this app i just the boardgamegeek app and in many ways i still prefer it to actually track my games the data collection and informational graphics is what i have wanted on android for the longest time and for me that alone is worth the price but i have grown accustomed to many features of the big app that this does not provide after selecting you location id like select players list to prefer players who have played in that location provide a color optionswatches for the role selection remember what type of roles have been used in past plays in a drop down list instead of having to type them in each game provide a live timer to record how much game time has elapsed this may be just my phone but the comments section does not have autocorrect ,1,1,0,1,0,0,0,0,0,0
99,this app is perfect to fill that area of my life that wants to have the best and most update stats that said i have several incomplete games that are logged for my play stats that i wish did not count so i could give it a if that feature exists ,1,0,1,0,0,0,0,0,0,0
100,overall its very good improvement wish list make it easier to associate photos with players currently it just takes a photo wholesale cannot crop and i have to search for it maybe if it could import from google contacts make it possible to record multiple wins of a game with one session eg i might play several rounds of star realms but to record the wins accurately i have to submit each on of them as separate session ,0,1,0,0,0,0,0,0,0,0
101,i am still learning the app but it seems pretty great i had some issues importing all my plays and importing all my games and expansions so i have emailed developer ,0,0,0,0,0,0,0,0,0,0
102,loved this app on ios and i have been writing down every game i have played and logging it on my old phone since i switched to my new android phone as soon as the android version came out i download it however i cannot import my export from ios over to the android app i can see it in my downloads and on my google drive but the app will not allow me to open it this is really frustrating as i thought i would just be able to import all the data across i still love the app and i understand this version is still very new any help on how i can get my old data across from ios to android would be appreciated as its quite frustrating to not be able to import it thanks ,0,1,0,1,0,1,0,0,0,0
103,intuitive and easy to work out with minimum fuss once you have worked out what to do play with some dummy data to start with which is what i did to get a feel what did what once i saw what was happening it all came together very happy with what it provided ,0,1,1,0,0,1,0,0,0,0
104,fantastic app developers are speedy in fixing issues so far my favorite out of all board game bloggers ,1,0,1,0,0,0,0,0,0,0
105,looks fine but i cannot connect my big account it keeps saying my internet connection is offline update i finally logged into big the android keyboard added a space after i used autocomplete on my username it would be nice if the app trimmed trailing white space the error message was not at all useful either i look forward to using this app and will update my review and score after i have used it awhile ,0,1,0,1,0,0,0,0,0,0
106,so happy it has finally come to android i have encountered a stability issue though the app seems to crash whenever i try to designate a game as cooperative or when trying to access a game that has already been marked as cooperative ,0,0,0,1,0,0,0,0,0,0
107,i love the statistics this app gives you however i like the way scorepal works a little more i like that it times your game for you and when tracking the score allows you to input the score for say church bonus customs bonus technology bonus etc ,1,1,0,0,0,1,0,0,0,0
108,fantastic organizational and statistical tool for all the type a boardgames put there challenges are a great way to family your gaming small feature request though can we get the icon to work with android material guidelines this app sits on my home screen but it does not match the color scheme of everything else its a small grape but at this point there is nothing else to really complain about with this app ,0,0,0,0,0,1,0,0,1,0
109,the best supported app i know of ,1,0,0,0,0,0,0,0,0,0
110,needs a dark mode for android it burns my eyes to use this on my tablet otherwise a musthave app for boardgamers ,0,0,1,1,0,0,0,0,0,0
111,great app worth the money for the add ons ,1,0,0,0,0,0,0,0,0,0
112,i do not actually log my plays using bg stats but love it for the data mining features the addons are great ,1,1,0,0,0,0,0,0,0,0
113,i do not write app reviews much but i can easily say this is one of the best apps i have ever used simple informative and integrated with big makes it ,1,0,0,0,0,0,0,0,0,0
114,sync with big excellent customizability good dark mode nice basic stats with options for more very easy to use ,1,1,1,0,0,0,0,0,0,0
115,it is fantastic to be able to track games i have played as well as games in my collection it does have a little learning curve to figure everything out but worth it ,1,0,0,0,0,1,0,0,0,0
116,excellent and constantly updated score tracking app respect ,1,0,0,0,0,0,0,0,0,0
117,for board gamers this is a revolutionary way to log and get statistics on the games you play it uses board game geeks database so it has almost every board game imaginable expansions are super cheap and nice ,1,0,1,0,0,1,0,1,0,0
118,excellent app brought organization and life to my collection can we get a button to store photos on the location details i want to store a photo of the board game bar cafe i visit when out of town ,1,1,0,0,0,0,0,0,0,0
119,great app for tracking games if you are a stats goalie highly recommended i wish there were some social features so i could more easily see a friends stats library and wishlist without depending on big ,1,0,0,0,0,0,1,0,0,0
120,an amazing app for tracking board game plays it is constantly getting updates and new bells added i feel like overtime i launch the app there is a new notification with update notes this is easily worth the money asked for i love the challenges and stats add ons which again are worth every penny it also sync with big and imports from ucat and ga if you are at all into tracking plays this is the must have app ,1,1,1,0,0,1,0,0,0,0
121,this app does it all i was able to get rid of a couple extra apps on my phone randomized score sheet app because this one covers it on top of that they really support the app and are constantly improving it so glad i bought it ,1,1,1,0,0,0,0,0,0,0
122,musthave if you like to track your game stats easily worth every penny ,1,0,1,0,0,0,0,0,0,0
123,great app the new score sheets option is great there was a game i wanted them to add a score sheet to i emailed them and it was added in less then hours ,1,0,0,0,0,0,1,0,0,0
124,love this app its great to keep track of scores and what games we play ,1,0,1,0,0,1,0,0,0,0
125,this app is awesome developers when i share the app i do not get the option to open the file in stats just my browsers and my printer app for some reason is there anything you can do to fix that my iphone friends had the same issue ,1,0,0,0,0,0,1,0,0,0
126,the best app for board game stats available id like to report a slight bug with the dark mode i leave this app running in the background a lot and play youtube music until i am ready to input scores overtime i come back to the app the dark mode reverts to light mode with glitches until i do stuff which is a little annoying ,1,0,1,1,0,0,0,0,0,0
127,a must for any serious board gamer so comprehensive love seeing the stats and scoring grids ,1,0,1,0,0,0,0,0,0,0
128,the recently added score card feature has muenchen my need to switch to other apps fantastic thanks devs ,0,1,0,0,0,1,0,0,0,0
129,easy to use quick and now with lots of custom scoresheets for quick math an already amazing app that is getting better and better ,1,1,0,0,0,1,0,0,0,0
130,this app is absolutely top notch its constantly being updated and includes far more data than anyone could ever need to know everything about their play sessions well worth the money i have spent on it ,1,0,1,0,0,1,0,0,0,0
131,good experiences with it for almost a year now thank you for the good updates ,1,0,0,0,0,0,0,0,0,0
132,great way to keep track of gaming stats integrates well with board game geek of that is important to you ,1,0,0,0,0,0,0,0,0,0
133,amazing app that just keeps getting better keep up the awesome work have you ever considered making an app like this for roleplaying games or video games id buy those in a heartbeat ,1,0,0,0,0,0,0,0,0,0
134,great app that continues to get better and add more features thanks ,0,1,0,0,0,1,0,0,0,0
135,if you are a board gamer this is the best i have used yet it gets regular updates the developers are responsive to issues and i do not have any issues keeps all my plays and stats for myself and some others i play with ,1,0,0,1,0,0,1,0,0,0
136,a must have app for any board game enthusiast who wants to keep track of games played along with many other stats very well designed and would not be without it ,1,0,0,0,0,1,0,0,0,0
137,its a superb app for all board gamers out there the basic features are free and do a great job of tracking your games i have purchased some add ons to support the devs and do not regret a penny it sync up with my big tracks my plays allows me to see who i play with the most what days are the most popular and other stuff like that which while not necessary is interesting to keep track off online sync is also a godsend allowing me to use different devices easily a great app ,1,0,1,1,0,0,1,0,0,0
138,play board games you need this reliable app that is always being worked on and updated ,0,0,0,1,0,0,0,0,0,0
139,excellent to help keep track of challenges plays and games easy to use although the ui takes a bit of getting used to love how quickly it is to add tons of information to my plays with very little effort and its fun to see the statistics of my plays ,1,1,0,0,0,1,0,0,0,0
140,this app is instantly good updates are frequently made and have never experienced any issues with it ,0,0,0,1,0,0,0,0,0,0
141,everything i hoped in a collection and stats tracking app so legit ,1,0,0,0,0,0,0,0,0,0
142,an absolutely delightful and easy app to use cannot play a boardgame now without it tracking our plays which game is pulled from the shelf the most gameplay times as well as the bragging rights for percentage of wins has made our boardgame experience that much more pleasant love this app so much ,1,0,1,0,0,0,0,0,0,0
143,amazing board game app to keep track of a wide variety of board games who won or lost as well as victory points for each player it even works through the board game geek website to help track of all of that information as well so you know what is in your collection ,1,1,0,0,0,0,0,0,0,0
144,absolutely love this app its helped me to set and stick to gaming goals for the year totally taken game night to another level ,1,1,1,0,0,1,0,0,0,0
145,my misused and most useful app purchase and the only one i have ever bought and used so much for the last years now that i have felt obliged to send extra tips to the developer great resource useful tool good memories ,1,0,1,0,0,0,1,0,0,1
146,quite simply the best most fully featured stat tracking app i have ever used still under active development with new features coming out too ,1,0,0,0,0,1,0,0,0,0
147,best board game app available addons are worth the extra couple has truly helped me track my collection of games and expansions the challenges addons with the random game selector has helped me worked through many games on my shelf of shame ,1,0,0,0,0,1,0,0,0,0
148,great easy to use cheap ,1,0,0,0,0,0,0,0,0,0
149,the overtime payments for some of the other features are super worth it insights is a fun tool to use to filter and review all your bg data great value here ,1,0,1,0,0,0,0,0,0,0
150,great app constantly supported by the developer ,1,0,0,1,0,0,0,0,0,0
151,this app is incredibly well made it works perfectly and has awesome features and stats the free version is feature rich but i very happily unlocked the extras for a small price the challenges are a nice extra motivation or to pick a particular game to play ,1,1,1,0,0,1,0,0,0,0
152,amazing app to keep track of stats keep up the good work new updatesfeatures are appreciated ,1,1,0,0,0,0,0,0,0,0
153,amazing utility tool for keeping track of your collection and plays ,1,0,0,0,0,0,0,0,0,0
154,lovely way to update big and play stats collects data and challenges for plays integration with big is great for logging plays players and collections but having just played dialect i wish rpg geek was integrated into rpg so other table top games could be tracked ,1,1,0,0,0,1,0,0,1,0
155,great app for keeping track of our board gaming journey and collection ,1,1,0,0,0,0,0,0,0,0
156,i honestly cannot imagine my life without this app if you are a board gamer you need bg stats app ,1,0,1,0,0,0,0,0,0,0
157,really really great app and worth the investment for paid features i especially love the sync to big for both plays and games and the new boardgamearena import feature in beta ,1,0,1,0,0,0,0,0,0,0
158,great implementation its a pleasure to keep track of games and play time statistics with this app i enjoy the possibility of adding tags and saving custom filters there are some filter possibilities available out of the box like player count play time min age etc could the designer be added to this base set of filters making it easy to filter by designer without having to add a tag for it ,1,1,1,0,0,1,0,0,0,0
159,this app really helps to track your games and your collection after i bought the challenges and deep statistics i started to play more ,1,0,0,0,0,1,0,0,0,0
160,this is hands down the best boardgame trackingstats app out there i have been using it since and it continues to get amazing updates with loads of functionality big props to the creator ,1,0,0,0,0,0,0,0,0,1
161,best boardgame tracking stats and tons more feature app out there only one you will ever need ,1,0,0,0,0,0,0,0,0,0
162,if you love statistics and playing games you must get this app extremely high quality app in app purchases are very low prices i am amazed at the quality and the price of the addons this app gives me so much joy pursuing the statistics of the games i have played very very very very worth it i have been using it for years and they have continued to add value ,1,1,1,0,0,1,0,0,0,0
163,absolutely fantastic i love stats and this is perfect for me ,1,1,0,0,0,0,0,0,0,0
164,phenomenal app that keeps track of gaming groups locations game collections win ratios of players and even links with your big account for board game lobbyists this is a must buy helps you see what is getting played or not as well the developer of this app updates it very frequently which is always great to see ,1,1,0,0,0,1,1,0,0,0
165,love the app wish it had a random game picked from your collection for those hard to choose occasions ,0,1,0,0,0,1,0,0,0,0
166,makes recording plays so much easier is there any chance you can addons a game randomised where we add games from our library to a folder and the app picks a game from that folder for us to play fulfilled thanks ,1,1,0,0,0,1,0,0,0,0
167,if you are a avid board gamer this is a must have for you many great features and analyzing tools my only grape is there is a subscription model for the big sync service which is only but i am not a fan of recurring purchases if it was like or some better one time fee that would be fantastic also make sure you get the deep analytics dlc ,0,1,1,0,1,0,0,0,0,0
168,i have been using this for a few years now the information it compiles is staggering the developer continues to update and add things on a very regular basis id give it stars if i could ,1,1,0,0,0,0,0,0,0,1
169,thank you i love this app so useful ,0,0,1,0,0,0,0,0,0,0
170,i love seeing the stats its great to know when someone is oddly good with a specific combination or similar ,1,0,0,0,0,0,0,0,0,0
171,superb i only wish there were an option called play a random game you own it would help with tough decisions sometimes ,0,1,0,0,0,1,0,0,0,0
172,brilliant app for keeping stats of all your games it keeps on getting better and better too ,1,0,0,0,0,0,0,0,0,0
173,a great app lots of fun lots of stats when issues arise they are quick to be fixed ,1,0,1,1,0,0,0,0,0,0
174,been using this app for roughly a week and so far i like it wish this had been around years ago 馃槈 any chance that games could get the information for the number of players example for players added in updated to stars ,0,1,0,0,0,0,0,0,0,0
175,great app for tracking plays and interacting with my big collection i do not need to log into big to update new purchases etc because you can do it all from here that was the cherry on top of an already great buy highly recommend ,1,1,1,0,0,0,0,0,0,0
176,worth all the money i spent on this just one minor thing i hope they add a zoom for plays images ,0,1,0,0,0,0,0,0,0,0
177,very pleased with what i have seen so far this is easily the most versatile and easy to update board game collection app that i have used ,1,1,1,0,0,0,0,0,0,0
